external_id,ywp_id,ywp_year,Key1-2,ywp_name,actorID,bc_id,conflictID,conflictID2,bc_name,bwd_id,bwd_name,country1,country2,locationid1,locationid2,external_exists,external_name,external_alleged,external_type_X,external_type_Y,external_type_L,external_type_W,external_type_M,external_type_T,external_type_$,external_type_I,external_type_O,external_type_U,external_type_text,external_type_code,external_type_of_support 1,external_type_of_support 2,external_type_of_support 3,external_type_of_support 4,external_type_of_support 5,quien_que_aquien5,quien_que_aquien1,quien_que_aquien2,quien_que_aquien3,quien_que_aquien4,quien_ayudo_aquien,quien_conque1,quien_conque2,external_nameid,quien_conque3,quien_conque4,quien_conque5
77,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Azerbaijan,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Azerbaijan ayudo a Government of Afghanistan con X,,,,Azerbaijan ayudo a Government of Afghanistan,Azerbaijan ayudo con X,,373,,,
78,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Belgium,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Belgium ayudo a Government of Afghanistan con X,,,,Belgium ayudo a Government of Afghanistan,Belgium ayudo con X,,211,,,
79,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Bulgaria,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Bulgaria ayudo a Government of Afghanistan con X,,,,Bulgaria ayudo a Government of Afghanistan,Bulgaria ayudo con X,,355,,,
80,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Canada,0,1,0,0,0,0,1,0,0,0,0,"Troops as secondary warring party, Training/Expertise",XT,X,T,,,,,Canada ayudo a Government of Afghanistan con X,Canada ayudo a Government of Afghanistan con T,,,Canada ayudo a Government of Afghanistan,Canada ayudo con X,Canada ayudo con T,20,,,
81,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Croatia,0,1,0,0,0,0,1,0,0,0,0,"Troops as secondary warring party, Training/Expertise",XT,X,T,,,,,Croatia ayudo a Government of Afghanistan con X,Croatia ayudo a Government of Afghanistan con T,,,Croatia ayudo a Government of Afghanistan,Croatia ayudo con X,Croatia ayudo con T,344,,,
82,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Czech Republic,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Czech Republic ayudo a Government of Afghanistan con X,,,,Czech Republic ayudo a Government of Afghanistan,Czech Republic ayudo con X,,316,,,
83,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Denmark,0,1,0,0,0,0,1,0,0,0,0,"Troops as secondary warring party, Training/Expertise",XT,X,T,,,,,Denmark ayudo a Government of Afghanistan con X,Denmark ayudo a Government of Afghanistan con T,,,Denmark ayudo a Government of Afghanistan,Denmark ayudo con X,Denmark ayudo con T,390,,,
84,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Estonia,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Estonia ayudo a Government of Afghanistan con X,,,,Estonia ayudo a Government of Afghanistan,Estonia ayudo con X,,366,,,
85,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Finland,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Finland ayudo a Government of Afghanistan con X,,,,Finland ayudo a Government of Afghanistan,Finland ayudo con X,,375,,,
86,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,France,0,1,0,0,0,0,1,0,0,0,0,"Troops as secondary warring party, Training/Expertise",XT,X,T,,,,,France ayudo a Government of Afghanistan con X,France ayudo a Government of Afghanistan con T,,,France ayudo a Government of Afghanistan,France ayudo con X,France ayudo con T,220,,,
87,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Georgia,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Georgia ayudo a Government of Afghanistan con X,,,,Georgia ayudo a Government of Afghanistan,Georgia ayudo con X,,372,,,
88,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Germany,0,1,0,0,0,1,1,0,0,0,0,"Troops as secondary warring party, Materiel/Logistics, Training/Expertise",XMT,X,M,T,,,,Germany ayudo a Government of Afghanistan con X,Germany ayudo a Government of Afghanistan con M,Germany ayudo a Government of Afghanistan con T,,Germany ayudo a Government of Afghanistan,Germany ayudo con X,Germany ayudo con M,260,Germany ayudo con T,,
89,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Greece,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Greece ayudo a Government of Afghanistan con X,,,,Greece ayudo a Government of Afghanistan,Greece ayudo con X,,350,,,
90,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Hungary,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Hungary ayudo a Government of Afghanistan con X,,,,Hungary ayudo a Government of Afghanistan,Hungary ayudo con X,,310,,,
91,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Iceland,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Iceland ayudo a Government of Afghanistan con X,,,,Iceland ayudo a Government of Afghanistan,Iceland ayudo con X,,395,,,
92,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Ireland,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Ireland ayudo a Government of Afghanistan con X,,,,Ireland ayudo a Government of Afghanistan,Ireland ayudo con X,,205,,,
93,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Italy,0,1,0,0,0,1,1,0,0,0,0,"Troops as secondary warring party, Materiel/Logistics, Training/Expertise",XMT,X,M,T,,,,Italy ayudo a Government of Afghanistan con X,Italy ayudo a Government of Afghanistan con M,Italy ayudo a Government of Afghanistan con T,,Italy ayudo a Government of Afghanistan,Italy ayudo con X,Italy ayudo con M,325,Italy ayudo con T,,
94,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Jordan,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Jordan ayudo a Government of Afghanistan con X,,,,Jordan ayudo a Government of Afghanistan,Jordan ayudo con X,,663,,,
95,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Latvia,0,1,0,0,0,1,1,0,0,0,0,"Troops as secondary warring party, Materiel/Logistics, Training/Expertise",XMT,X,M,T,,,,Latvia ayudo a Government of Afghanistan con X,Latvia ayudo a Government of Afghanistan con M,Latvia ayudo a Government of Afghanistan con T,,Latvia ayudo a Government of Afghanistan,Latvia ayudo con X,Latvia ayudo con M,367,Latvia ayudo con T,,
96,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Lithuania,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Lithuania ayudo a Government of Afghanistan con X,,,,Lithuania ayudo a Government of Afghanistan,Lithuania ayudo con X,,368,,,
97,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Luxembourg,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Luxembourg ayudo a Government of Afghanistan con X,,,,Luxembourg ayudo a Government of Afghanistan,Luxembourg ayudo con X,,212,,,
98,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Macedonia,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Macedonia ayudo a Government of Afghanistan con X,,,,Macedonia ayudo a Government of Afghanistan,Macedonia ayudo con X,,343,,,
99,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Netherlands,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Netherlands ayudo a Government of Afghanistan con X,,,,Netherlands ayudo a Government of Afghanistan,Netherlands ayudo con X,,210,,,
100,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,New Zealand,0,1,0,0,0,1,1,0,0,0,0,"Troops as secondary warring party, Materiel/Logistics, Training/Expertise",XMT,X,M,T,,,,New Zealand ayudo a Government of Afghanistan con X,New Zealand ayudo a Government of Afghanistan con M,New Zealand ayudo a Government of Afghanistan con T,,New Zealand ayudo a Government of Afghanistan,New Zealand ayudo con X,New Zealand ayudo con M,920,New Zealand ayudo con T,,
101,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Norway,0,1,0,0,0,1,1,0,0,0,0,"Troops as secondary warring party, Materiel/Logistics, Training/Expertise",XMT,X,M,T,,,,Norway ayudo a Government of Afghanistan con X,Norway ayudo a Government of Afghanistan con M,Norway ayudo a Government of Afghanistan con T,,Norway ayudo a Government of Afghanistan,Norway ayudo con X,Norway ayudo con M,385,Norway ayudo con T,,
102,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Pakistan,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Pakistan ayudo a Government of Afghanistan con X,,,,Pakistan ayudo a Government of Afghanistan,Pakistan ayudo con X,,770,,,
103,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Poland,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Poland ayudo a Government of Afghanistan con X,,,,Poland ayudo a Government of Afghanistan,Poland ayudo con X,,290,,,
104,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Portugal,0,1,0,0,0,1,1,0,0,0,0,"Troops as secondary warring party, Materiel/Logistics, Training/Expertise",XMT,X,M,T,,,,Portugal ayudo a Government of Afghanistan con X,Portugal ayudo a Government of Afghanistan con M,Portugal ayudo a Government of Afghanistan con T,,Portugal ayudo a Government of Afghanistan,Portugal ayudo con X,Portugal ayudo con M,235,Portugal ayudo con T,,
105,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Romania,0,1,0,0,0,1,1,0,0,0,0,"Troops as secondary warring party, Materiel/Logistics, Training/Expertise",XMT,X,M,T,,,,Romania ayudo a Government of Afghanistan con X,Romania ayudo a Government of Afghanistan con M,Romania ayudo a Government of Afghanistan con T,,Romania ayudo a Government of Afghanistan,Romania ayudo con X,Romania ayudo con M,360,Romania ayudo con T,,
107,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Slovakia,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Slovakia ayudo a Government of Afghanistan con X,,,,Slovakia ayudo a Government of Afghanistan,Slovakia ayudo con X,,317,,,
108,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Slovenia,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Slovenia ayudo a Government of Afghanistan con X,,,,Slovenia ayudo a Government of Afghanistan,Slovenia ayudo con X,,349,,,
109,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Spain,0,1,0,0,0,1,1,0,0,0,0,"Troops as secondary warring party, Materiel/Logistics, Training/Expertise",XMT,X,M,T,,,,Spain ayudo a Government of Afghanistan con X,Spain ayudo a Government of Afghanistan con M,Spain ayudo a Government of Afghanistan con T,,Spain ayudo a Government of Afghanistan,Spain ayudo con X,Spain ayudo con M,230,Spain ayudo con T,,
110,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Sweden,0,1,0,0,0,1,1,0,0,0,0,"Troops as secondary warring party, Materiel/Logistics, Training/Expertise",XMT,X,M,T,,,,Sweden ayudo a Government of Afghanistan con X,Sweden ayudo a Government of Afghanistan con M,Sweden ayudo a Government of Afghanistan con T,,Sweden ayudo a Government of Afghanistan,Sweden ayudo con X,Sweden ayudo con M,380,Sweden ayudo con T,,
111,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Switzerland,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Switzerland ayudo a Government of Afghanistan con X,,,,Switzerland ayudo a Government of Afghanistan,Switzerland ayudo con X,,225,,,
112,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Turkey,0,1,0,0,0,1,1,0,0,0,0,"Troops as secondary warring party, Materiel/Logistics, Training/Expertise",XMT,X,M,T,,,,Turkey ayudo a Government of Afghanistan con X,Turkey ayudo a Government of Afghanistan con M,Turkey ayudo a Government of Afghanistan con T,,Turkey ayudo a Government of Afghanistan,Turkey ayudo con X,Turkey ayudo con M,640,Turkey ayudo con T,,
113,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Ukraine,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Ukraine ayudo a Government of Afghanistan con X,,,,Ukraine ayudo a Government of Afghanistan,Ukraine ayudo con X,,369,,,
114,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,United Kingdom,0,1,0,0,0,1,1,0,0,0,0,"Troops as secondary warring party, Materiel/Logistics, Training/Expertise",XMT,X,M,T,,,,United Kingdom ayudo a Government of Afghanistan con X,United Kingdom ayudo a Government of Afghanistan con M,United Kingdom ayudo a Government of Afghanistan con T,,United Kingdom ayudo a Government of Afghanistan,United Kingdom ayudo con X,United Kingdom ayudo con M,200,United Kingdom ayudo con T,,
115,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,United States,0,1,0,0,0,1,1,0,0,0,0,"Troops as secondary warring party, Materiel/Logistics, Training/Expertise",XMT,X,M,T,,,,United States ayudo a Government of Afghanistan con X,United States ayudo a Government of Afghanistan con M,United States ayudo a Government of Afghanistan con T,,United States ayudo a Government of Afghanistan,United States ayudo con X,United States ayudo con M,2,United States ayudo con T,,
116,8618,2009,20091-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Albania,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Albania ayudo a Government of Afghanistan con X,,,,Albania ayudo a Government of Afghanistan,Albania ayudo con X,,339,,,
117,8618,2009,20091-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Australia,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Australia ayudo a Government of Afghanistan con X,,,,Australia ayudo a Government of Afghanistan,Australia ayudo con X,,900,,,
118,8618,2009,20091-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Austria,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Austria ayudo a Government of Afghanistan con X,,,,Austria ayudo a Government of Afghanistan,Austria ayudo con X,,305,,,
119,8618,2009,20091-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Azerbaijan,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Azerbaijan ayudo a Government of Afghanistan con X,,,,Azerbaijan ayudo a Government of Afghanistan,Azerbaijan ayudo con X,,373,,,
